id,name
length,طول
length,Length
Weight,وزن
Weight,Weight
Weight,جرم
pressure,فشار
pressure,Pressure
volume,حجم
volume,Volume
temperature,دما
temperature,Temperature
area,مساحت
area,Area
speed,سرعت
speed,Speed
speed,تندی
force,نیرو
force,Force
energy,انرژی
energy,Energy
power,توان
power,Power
torque,گشتاور
torque,Torque
time,زمان
time,Time
density,چگالی
density,غلظت جرمی
density,Density
frequency,فرکانس
frequency,Frequency
degree,زاویه
degree,Angle
shetab,شتاب
shetab,Acceleration
debi,شارش جرمی
debi,Mass Flow
debi-v,شارش حجمی
debi-v,Volumetric Flow
data-storage,ذخیره دیجیتال
data-storage,Digital storage
data-transfer,انتقال داده
data-transfer,سرعت اینترنت
data-transfer,Data-transfer
pishvand,پیشوندهای SI
